Country,Year,Coffee_Type,Metric,ValueCoffee
Guatemala,2003,Domestic Consumption,Domestic Consumption,19980000.0
Angola,2004,Domestic Consumption,Domestic Consumption,28020000.0
Uganda,2005,Domestic Consumption,Domestic Consumption,28020000.0
Italy,2006,Domestic Consumption,Domestic Consumption,28020000.0
Brazil,2007,Domestic Consumption,Domestic Consumption,28020000.0
Democratic Republic of Congo,2008,Domestic Consumption,Domestic Consumption,28020000.0
Netherlands,2009,Domestic Consumption,Domestic Consumption,28020000.0
United States of America,2010,Domestic Consumption,Domestic Consumption,28020000.0
Cameroon,2011,Domestic Consumption,Domestic Consumption,27000000.0
Madagascar,2015,Domestic Consumption,Domestic Consumption,60000.0
Sri Lanka,2016,Domestic Consumption,Domestic Consumption,60000.0
Indonesia,2017,Domestic Consumption,Domestic Consumption,60000.0
Jamaica,2018,Domestic Consumption,Domestic Consumption,60000.0
Philippines,2019,Domestic Consumption,Domestic Consumption,60000.0
Germany,1990,Domestic Consumption,Domestic Consumption,
Cuba,1991,Domestic Consumption,Domestic Consumption,
Lithuania,1992,Domestic Consumption,Domestic Consumption,
Hungary,1993,Domestic Consumption,Domestic Consumption,
Cyprus,1994,Domestic Consumption,Domestic Consumption,
Malawi,1995,Domestic Consumption,Domestic Consumption,
Switzerland,1996,Domestic Consumption,Domestic Consumption,
Estonia,1997,Domestic Consumption,Domestic Consumption,
Ecuador,1998,Domestic Consumption,Domestic Consumption,
Nigeria,1999,Domestic Consumption,Domestic Consumption,
El Salvador,2000,Domestic Consumption,Domestic Consumption,
Malta,2001,Domestic Consumption,Domestic Consumption,
Ethiopia,2002,Domestic Consumption,Domestic Consumption,
United Kingdom,2003,Domestic Consumption,Domestic Consumption,
Mexico,2004,Domestic Consumption,Domestic Consumption,
Sierra Leone,2005,Domestic Consumption,Domestic Consumption,
Sweden,2006,Domestic Consumption,Domestic Consumption,
Honduras,2007,Domestic Consumption,Domestic Consumption,
Viet Nam,2008,Domestic Consumption,Domestic Consumption,
Nicaragua,2009,Domestic Consumption,Domestic Consumption,
Kenya,2010,Domestic Consumption,Domestic Consumption,29400.0
Unspecified EU stocks,2011,Domestic Consumption,Domestic Consumption,29400.0
Peru,2012,Domestic Consumption,Domestic Consumption,29400.0
Czechia,2013,Domestic Consumption,Domestic Consumption,29400.0
India,2014,Domestic Consumption,Domestic Consumption,29400.0
Côte d Ivoire,2015,Domestic Consumption,Domestic Consumption,29400.0
Croatia,2016,Domestic Consumption,Domestic Consumption,29400.0
Austria,2017,Domestic Consumption,Domestic Consumption,29400.0
Greece,2018,Domestic Consumption,Domestic Consumption,29400.0
Timor-Leste,2019,Domestic Consumption,Domestic Consumption,29400.0
Equatorial Guinea,1990,Domestic Consumption,Domestic Consumption,480000.0
Trinidad & Tobago,1991,Domestic Consumption,Domestic Consumption,480000.0
Belgium/Luxembourg,1992,Domestic Consumption,Domestic Consumption,480000.0
Zimbabwe,1993,Domestic Consumption,Domestic Consumption,499980.0
Poland,1994,Domestic Consumption,Domestic Consumption,499980.0
Bulgaria,1995,Domestic Consumption,Domestic Consumption,396000.0
Central African Republic,1996,Domestic Consumption,Domestic Consumption,240000.0
Togo,1997,Domestic Consumption,Domestic Consumption,240000.0
Burundi,1998,Domestic Consumption,Domestic Consumption,240000.0
Guyana,1999,Domestic Consumption,Domestic Consumption,240000.0
Slovenia,2000,Domestic Consumption,Domestic Consumption,240000.0
Tunisia,2001,Domestic Consumption,Domestic Consumption,240000.0
Haiti,2002,Domestic Consumption,Domestic Consumption,240000.0
Ireland,2003,Domestic Consumption,Domestic Consumption,240000.0
Latvia,2004,Domestic Consumption,Domestic Consumption,240000.0
Slovakia,2005,Domestic Consumption,Domestic Consumption,240000.0
Gabon,2006,Domestic Consumption,Domestic Consumption,240000.0
Guinea,2007,Domestic Consumption,Domestic Consumption,240000.0
Thailand,2008,Domestic Consumption,Domestic Consumption,240000.0
Norway,2009,Domestic Consumption,Domestic Consumption,240000.0
France,2010,Domestic Consumption,Domestic Consumption,240000.0
Dominican Republic,2011,Domestic Consumption,Domestic Consumption,240000.0
Luxembourg,2012,Domestic Consumption,Domestic Consumption,240000.0
Belgium,2013,Domestic Consumption,Domestic Consumption,240000.0
Japan,2014,Domestic Consumption,Domestic Consumption,240000.0
Yemen,2015,Domestic Consumption,Domestic Consumption,240000.0
Spain,2016,Domestic Consumption,Domestic Consumption,240000.0
Papua New Guinea,2017,Domestic Consumption,Domestic Consumption,240000.0
Venezuela,2018,Domestic Consumption,Domestic Consumption,240000.0
Congo,2019,Domestic Consumption,Domestic Consumption,240000.0
Ghana,1990,Domestic Consumption,Domestic Consumption,180000.0
Denmark,1991,Domestic Consumption,Domestic Consumption,160020.0
Romania,1992,Domestic Consumption,Domestic Consumption,160020.0
Colombia,1993,Domestic Consumption,Domestic Consumption,180000.0
Panama,1994,Domestic Consumption,Domestic Consumption,180000.0
Bolivia,1995,Domestic Consumption,Domestic Consumption,180000.0
Tanzania,1996,Domestic Consumption,Domestic Consumption,180000.0
Nepal,1997,Domestic Consumption,Domestic Consumption,180000.0
Russian Federation,1998,Domestic Consumption,Domestic Consumption,180000.0
Zambia,1999,Domestic Consumption,Domestic Consumption,180000.0
Portugal,2000,Domestic Consumption,Domestic Consumption,180000.0
Costa Rica,2001,Domestic Consumption,Domestic Consumption,180000.0
Paraguay,2002,Domestic Consumption,Domestic Consumption,180000.0
Lao Peoples Democratic Republic,2003,Domestic Consumption,Domestic Consumption,180000.0
Finland,2004,Domestic Consumption,Domestic Consumption,180000.0
Rwanda,2005,Domestic Consumption,Domestic Consumption,180000.0
Liberia,2006,Domestic Consumption,Domestic Consumption,180000.0
Guatemala,2007,Domestic Consumption,Domestic Consumption,180000.0
Angola,2008,Domestic Consumption,Domestic Consumption,180000.0
Uganda,2009,Domestic Consumption,Domestic Consumption,180000.0
Italy,2010,Domestic Consumption,Domestic Consumption,180000.0
Brazil,2011,Domestic Consumption,Domestic Consumption,180000.0
Democratic Republic of Congo,2012,Domestic Consumption,Domestic Consumption,180000.0
Netherlands,2013,Domestic Consumption,Domestic Consumption,180000.0
United States of America,2014,Domestic Consumption,Domestic Consumption,180000.0
Cameroon,2015,Domestic Consumption,Domestic Consumption,180000.0
Madagascar,2016,Domestic Consumption,Domestic Consumption,180000.0
Sri Lanka,2017,Domestic Consumption,Domestic Consumption,180000.0
Indonesia,2018,Domestic Consumption,Domestic Consumption,180000.0
Jamaica,2019,Domestic Consumption,Domestic Consumption,180000.0
Philippines,1990,Domestic Consumption,Domestic Consumption,12780000.0
Germany,1991,Domestic Consumption,Domestic Consumption,12780000.0
Cuba,1992,Domestic Consumption,Domestic Consumption,11700000.0
Lithuania,1993,Domestic Consumption,Domestic Consumption,11646000.0
Hungary,1994,Domestic Consumption,Domestic Consumption,11640000.0
Cyprus,1995,Domestic Consumption,Domestic Consumption,11640000.0
Malawi,1996,Domestic Consumption,Domestic Consumption,11340000.0
Switzerland,1997,Domestic Consumption,Domestic Consumption,11700000.0
Estonia,1998,Domestic Consumption,Domestic Consumption,12000000.0
Ecuador,1999,Domestic Consumption,Domestic Consumption,12000000.0
Nigeria,2000,Domestic Consumption,Domestic Consumption,12780000.0
El Salvador,2001,Domestic Consumption,Domestic Consumption,13200000.0
Malta,2002,Domestic Consumption,Domestic Consumption,13440000.0
Ethiopia,2003,Domestic Consumption,Domestic Consumption,13440000.0
United Kingdom,2004,Domestic Consumption,Domestic Consumption,13440000.0
Mexico,2005,Domestic Consumption,Domestic Consumption,13440000.0
Sierra Leone,2006,Domestic Consumption,Domestic Consumption,13440000.0
Sweden,2007,Domestic Consumption,Domestic Consumption,13440000.0
Honduras,2008,Domestic Consumption,Domestic Consumption,13200000.0
Viet Nam,2009,Domestic Consumption,Domestic Consumption,13200000.0
Nicaragua,2019,Domestic Consumption,Domestic Consumption,5700000.0
Kenya,1990,Domestic Consumption,Domestic Consumption,90000.0
Unspecified EU stocks,1991,Domestic Consumption,Domestic Consumption,90000.0
Peru,1992,Domestic Consumption,Domestic Consumption,85920.0
Czechia,1993,Domestic Consumption,Domestic Consumption,60000.0
India,1994,Domestic Consumption,Domestic Consumption,90000.0
Côte d Ivoire,1995,Domestic Consumption,Domestic Consumption,36000.0
Croatia,1996,Domestic Consumption,Domestic Consumption,60000.0
Austria,1997,Domestic Consumption,Domestic Consumption,36000.0
Greece,1998,Domestic Consumption,Domestic Consumption,36000.0
Timor-Leste,1999,Domestic Consumption,Domestic Consumption,36000.0
Equatorial Guinea,2000,Domestic Consumption,Domestic Consumption,36000.0
Trinidad & Tobago,2001,Domestic Consumption,Domestic Consumption,36000.0
Belgium/Luxembourg,2002,Domestic Consumption,Domestic Consumption,36000.0
Zimbabwe,2003,Domestic Consumption,Domestic Consumption,36000.0
Poland,2004,Domestic Consumption,Domestic Consumption,36000.0
Bulgaria,2005,Domestic Consumption,Domestic Consumption,36000.0
Central African Republic,2006,Domestic Consumption,Domestic Consumption,36000.0
Togo,2007,Domestic Consumption,Domestic Consumption,60000.0
Burundi,2008,Domestic Consumption,Domestic Consumption,60000.0
Guyana,2009,Domestic Consumption,Domestic Consumption,
Slovenia,2010,Domestic Consumption,Domestic Consumption,
Tunisia,2011,Domestic Consumption,Domestic Consumption,
Haiti,2012,Domestic Consumption,Domestic Consumption,
Ireland,2013,Domestic Consumption,Domestic Consumption,
Latvia,2014,Domestic Consumption,Domestic Consumption,
Slovakia,2015,Domestic Consumption,Domestic Consumption,
Gabon,2016,Domestic Consumption,Domestic Consumption,
Guinea,2017,Domestic Consumption,Domestic Consumption,
Thailand,2018,Domestic Consumption,Domestic Consumption,
Norway,2019,Domestic Consumption,Domestic Consumption,
France,1990,Domestic Consumption,Domestic Consumption,4998000.0
Dominican Republic,1991,Domestic Consumption,Domestic Consumption,4999980.0
Luxembourg,1992,Domestic Consumption,Domestic Consumption,4999980.0
Belgium,1993,Domestic Consumption,Domestic Consumption,6000000.0
Japan,1994,Domestic Consumption,Domestic Consumption,6000000.0
Yemen,1995,Domestic Consumption,Domestic Consumption,6000000.0
Spain,1996,Domestic Consumption,Domestic Consumption,6000000.0
Papua New Guinea,1997,Domestic Consumption,Domestic Consumption,6000000.0
Venezuela,1998,Domestic Consumption,Domestic Consumption,6000000.0
Congo,1999,Domestic Consumption,Domestic Consumption,6000000.0
Ghana,2000,Domestic Consumption,Domestic Consumption,4500000.0
Denmark,2001,Domestic Consumption,Domestic Consumption,4140000.0
Romania,2002,Domestic Consumption,Domestic Consumption,4140000.0
Colombia,2003,Domestic Consumption,Domestic Consumption,4140000.0
Panama,2004,Domestic Consumption,Domestic Consumption,4140000.0
Bolivia,2005,Domestic Consumption,Domestic Consumption,4140000.0
Tanzania,2006,Domestic Consumption,Domestic Consumption,4140000.0
Nepal,2007,Domestic Consumption,Domestic Consumption,4140000.0
Russian Federation,2008,Domestic Consumption,Domestic Consumption,4140000.0
Zambia,2009,Domestic Consumption,Domestic Consumption,4140000.0
Portugal,2010,Domestic Consumption,Domestic Consumption,4099980.0
Costa Rica,2011,Domestic Consumption,Domestic Consumption,4201020.0
Paraguay,2012,Domestic Consumption,Domestic Consumption,4303980.0
Lao Peoples Democratic Republic,2013,Domestic Consumption,Domestic Consumption,4408980.0
Finland,2014,Domestic Consumption,Domestic Consumption,4519020.0
Rwanda,2015,Domestic Consumption,Domestic Consumption,4560000.0
Liberia,2016,Domestic Consumption,Domestic Consumption,4620000.0
Guatemala,2017,Domestic Consumption,Domestic Consumption,4680000.0
Angola,2018,Domestic Consumption,Domestic Consumption,4680000.0
Uganda,2019,Domestic Consumption,Domestic Consumption,4620000.0
Italy,1990,Domestic Consumption,Domestic Consumption,1680000.0
Brazil,1991,Domestic Consumption,Domestic Consumption,1680000.0
Democratic Republic of Congo,1992,Domestic Consumption,Domestic Consumption,1680000.0
Netherlands,1993,Domestic Consumption,Domestic Consumption,1500000.0
United States of America,1994,Domestic Consumption,Domestic Consumption,900000.0
Cameroon,1995,Domestic Consumption,Domestic Consumption,600000.0
Madagascar,1996,Domestic Consumption,Domestic Consumption,600000.0
Sri Lanka,1997,Domestic Consumption,Domestic Consumption,600000.0
Indonesia,1998,Domestic Consumption,Domestic Consumption,1140000.0
Jamaica,1999,Domestic Consumption,Domestic Consumption,1260000.0
Philippines,2000,Domestic Consumption,Domestic Consumption,180000.0
Germany,2001,Domestic Consumption,Domestic Consumption,180000.0
Cuba,2002,Domestic Consumption,Domestic Consumption,227220.0
Lithuania,2003,Domestic Consumption,Domestic Consumption,227220.0
Hungary,2004,Domestic Consumption,Domestic Consumption,180000.0
Cyprus,2005,Domestic Consumption,Domestic Consumption,180000.0
Malawi,2006,Domestic Consumption,Domestic Consumption,180000.0
Switzerland,2007,Domestic Consumption,Domestic Consumption,199980.0
Estonia,2008,Domestic Consumption,Domestic Consumption,300000.0
Ecuador,2009,Domestic Consumption,Domestic Consumption,499980.0
Nigeria,2010,Domestic Consumption,Domestic Consumption,600000.0
El Salvador,2011,Domestic Consumption,Domestic Consumption,799980.0
Malta,2012,Domestic Consumption,Domestic Consumption,1000020.0
Ethiopia,2013,Domestic Consumption,Domestic Consumption,1200000.0
United Kingdom,2014,Domestic Consumption,Domestic Consumption,1200000.0
Mexico,2015,Domestic Consumption,Domestic Consumption,1200000.0
Sierra Leone,2016,Domestic Consumption,Domestic Consumption,1200000.0
Sweden,2017,Domestic Consumption,Domestic Consumption,1200000.0
Honduras,2018,Domestic Consumption,Domestic Consumption,1200000.0
Viet Nam,2019,Domestic Consumption,Domestic Consumption,1200000.0
Nicaragua,1990,Domestic Consumption,Domestic Consumption,74100000.0
Kenya,1991,Domestic Consumption,Domestic Consumption,76140000.0
Unspecified EU stocks,1992,Domestic Consumption,Domestic Consumption,78180000.0
Peru,1993,Domestic Consumption,Domestic Consumption,80340000.0
Czechia,1994,Domestic Consumption,Domestic Consumption,82500000.0
India,1995,Domestic Consumption,Domestic Consumption,81540000.0
Côte d Ivoire,1996,Domestic Consumption,Domestic Consumption,80580000.0
Croatia,1997,Domestic Consumption,Domestic Consumption,79680000.0
Austria,1998,Domestic Consumption,Domestic Consumption,78720000.0
Greece,1999,Domestic Consumption,Domestic Consumption,77820000.0
Timor-Leste,2000,Domestic Consumption,Domestic Consumption,76920000.0
Equatorial Guinea,2001,Domestic Consumption,Domestic Consumption,76020000.0
Trinidad & Tobago,2002,Domestic Consumption,Domestic Consumption,75120000.0
Belgium/Luxembourg,2014,Domestic Consumption,Domestic Consumption,12000000.0
Zimbabwe,2015,Domestic Consumption,Domestic Consumption,12000000.0
Poland,2016,Domestic Consumption,Domestic Consumption,12000000.0
Bulgaria,2017,Domestic Consumption,Domestic Consumption,12000000.0
Central African Republic,2018,Domestic Consumption,Domestic Consumption,12000000.0
Togo,2019,Domestic Consumption,Domestic Consumption,11880000.0
Burundi,1990,Domestic Consumption,Domestic Consumption,10800000.0
Guyana,1991,Domestic Consumption,Domestic Consumption,10800000.0
Slovenia,1992,Domestic Consumption,Domestic Consumption,13800000.0
Tunisia,1993,Domestic Consumption,Domestic Consumption,13800000.0
Haiti,1994,Domestic Consumption,Domestic Consumption,13800000.0
Ireland,1995,Domestic Consumption,Domestic Consumption,16200000.0
Latvia,1996,Domestic Consumption,Domestic Consumption,13800000.0
Slovakia,1997,Domestic Consumption,Domestic Consumption,11500020.0
Gabon,1998,Domestic Consumption,Domestic Consumption,11500020.0
Guinea,1999,Domestic Consumption,Domestic Consumption,9198000.0
Thailand,2000,Domestic Consumption,Domestic Consumption,8640000.0
Norway,2001,Domestic Consumption,Domestic Consumption,9198000.0
France,2002,Domestic Consumption,Domestic Consumption,9198000.0
Dominican Republic,2003,Domestic Consumption,Domestic Consumption,9198000.0
Luxembourg,2004,Domestic Consumption,Domestic Consumption,10350000.0
Belgium,2005,Domestic Consumption,Domestic Consumption,13446000.0
Japan,2006,Domestic Consumption,Domestic Consumption,15228000.0
Yemen,2007,Domestic Consumption,Domestic Consumption,15030000.0
Spain,2008,Domestic Consumption,Domestic Consumption,14658000.0
Papua New Guinea,2009,Domestic Consumption,Domestic Consumption,16098000.0
Venezuela,2010,Domestic Consumption,Domestic Consumption,16560000.0
Congo,2011,Domestic Consumption,Domestic Consumption,16404000.0
Ghana,2012,Domestic Consumption,Domestic Consumption,16596000.0
Denmark,2013,Domestic Consumption,Domestic Consumption,16500000.0
Romania,2014,Domestic Consumption,Domestic Consumption,16800000.0
Colombia,2015,Domestic Consumption,Domestic Consumption,17100000.0
Panama,2016,Domestic Consumption,Domestic Consumption,17520000.0
Bolivia,2017,Domestic Consumption,Domestic Consumption,18000000.0
Tanzania,2018,Domestic Consumption,Domestic Consumption,18000000.0
Nepal,2019,Domestic Consumption,Domestic Consumption,17520000.0
Russian Federation,1990,Domestic Consumption,Domestic Consumption,
Zambia,1991,Domestic Consumption,Domestic Consumption,
Portugal,1992,Domestic Consumption,Domestic Consumption,
Costa Rica,1993,Domestic Consumption,Domestic Consumption,
Paraguay,1994,Domestic Consumption,Domestic Consumption,
Lao Peoples Democratic Republic,1995,Domestic Consumption,Domestic Consumption,
Finland,1996,Domestic Consumption,Domestic Consumption,
Rwanda,1997,Domestic Consumption,Domestic Consumption,
Liberia,1998,Domestic Consumption,Domestic Consumption,
Guatemala,1999,Domestic Consumption,Domestic Consumption,
Angola,2000,Domestic Consumption,Domestic Consumption,
Uganda,2001,Domestic Consumption,Domestic Consumption,
Italy,2002,Domestic Consumption,Domestic Consumption,
Brazil,2003,Domestic Consumption,Domestic Consumption,
Democratic Republic of Congo,2004,Domestic Consumption,Domestic Consumption,
Netherlands,2005,Domestic Consumption,Domestic Consumption,
United States of America,2006,Domestic Consumption,Domestic Consumption,
Cameroon,2007,Domestic Consumption,Domestic Consumption,
Madagascar,2008,Domestic Consumption,Domestic Consumption,
Sri Lanka,2009,Domestic Consumption,Domestic Consumption,
Indonesia,2010,Domestic Consumption,Domestic Consumption,
Jamaica,2011,Domestic Consumption,Domestic Consumption,
Philippines,2012,Domestic Consumption,Domestic Consumption,
Germany,2013,Domestic Consumption,Domestic Consumption,
Cuba,2014,Domestic Consumption,Domestic Consumption,
Lithuania,2015,Domestic Consumption,Domestic Consumption,
Hungary,2016,Domestic Consumption,Domestic Consumption,
Cyprus,2017,Domestic Consumption,Domestic Consumption,
Malawi,2018,Domestic Consumption,Domestic Consumption,
Switzerland,2019,Domestic Consumption,Domestic Consumption,
Estonia,1990,Domestic Consumption,Domestic Consumption,72000000.0
Ecuador,1991,Domestic Consumption,Domestic Consumption,75840000.0
Nigeria,1992,Domestic Consumption,Domestic Consumption,79860000.0
El Salvador,1993,Domestic Consumption,Domestic Consumption,84120000.0
Malta,1994,Domestic Consumption,Domestic Consumption,88560000.0
Ethiopia,1995,Domestic Consumption,Domestic Consumption,93300000.0
United Kingdom,1996,Domestic Consumption,Domestic Consumption,98220000.0
Mexico,1997,Domestic Consumption,Domestic Consumption,103440000.0
Sierra Leone,1998,Domestic Consumption,Domestic Consumption,108960000.0
Sweden,1999,Domestic Consumption,Domestic Consumption,114720000.0
Honduras,2000,Domestic Consumption,Domestic Consumption,120840000.0
Viet Nam,2001,Domestic Consumption,Domestic Consumption,127260000.0
Nicaragua,2002,Domestic Consumption,Domestic Consumption,134040000.0
Kenya,2003,Domestic Consumption,Domestic Consumption,141180000.0
Unspecified EU stocks,2004,Domestic Consumption,Domestic Consumption,148680000.0
Peru,2005,Domestic Consumption,Domestic Consumption,156540000.0
Czechia,2006,Domestic Consumption,Domestic Consumption,164880000.0
India,2007,Domestic Consumption,Domestic Consumption,173640000.0
Côte d Ivoire,2008,Domestic Consumption,Domestic Consumption,182880000.0
Croatia,2009,Domestic Consumption,Domestic Consumption,186540000.0
Austria,2010,Domestic Consumption,Domestic Consumption,190260000.0
Greece,2011,Domestic Consumption,Domestic Consumption,194100000.0
Timor-Leste,2012,Domestic Consumption,Domestic Consumption,197940000.0
Equatorial Guinea,2013,Domestic Consumption,Domestic Consumption,201900000.0
Trinidad & Tobago,2014,Domestic Consumption,Domestic Consumption,205980000.0
Belgium/Luxembourg,2015,Domestic Consumption,Domestic Consumption,210060000.0
Zimbabwe,2016,Domestic Consumption,Domestic Consumption,214260000.0
Poland,2017,Domestic Consumption,Domestic Consumption,218580000.0
Bulgaria,2018,Domestic Consumption,Domestic Consumption,221100000.0
Central African Republic,2019,Domestic Consumption,Domestic Consumption,226860000.0
Togo,1990,Domestic Consumption,Domestic Consumption,102000.0
Burundi,1991,Domestic Consumption,Domestic Consumption,60000.0
Guyana,1992,Domestic Consumption,Domestic Consumption,48000.0
Slovenia,1993,Domestic Consumption,Domestic Consumption,48000.0
Tunisia,1994,Domestic Consumption,Domestic Consumption,60000.0
Haiti,1995,Domestic Consumption,Domestic Consumption,48000.0
Ireland,1996,Domestic Consumption,Domestic Consumption,49980.0
Latvia,1997,Domestic Consumption,Domestic Consumption,48000.0
Slovakia,1998,Domestic Consumption,Domestic Consumption,48000.0
Gabon,1999,Domestic Consumption,Domestic Consumption,42900.0
Guinea,2000,Domestic Consumption,Domestic Consumption,18000.0
Thailand,1994,Domestic Consumption,Domestic Consumption,
Norway,1995,Domestic Consumption,Domestic Consumption,
France,1996,Domestic Consumption,Domestic Consumption,
Dominican Republic,1997,Domestic Consumption,Domestic Consumption,
Luxembourg,1998,Domestic Consumption,Domestic Consumption,292020.0
Belgium,1999,Domestic Consumption,Domestic Consumption,261000.0
Japan,2000,Domestic Consumption,Domestic Consumption,112980.0
Yemen,2001,Domestic Consumption,Domestic Consumption,250020.0
